id,name,np_xg,xA,np_xg_shot,key_passes,fouls_won,succ_dribbles,turnovers,def_inv,shots,passes_%,crosses_%
38,"Abdoulaye DoucouréWatford, 26, M(C)",0.14,0.09,0.08235294118,0.9,0.3,1.3,2.2,6.4,1.7,0.8078431373,0.01176470588
18,"Andreas PereiraManchester United, 23, M(CLR)",0.08,0.22,0.05,2.1,0.9,1.4,5.1,3.6,1.6,0.7342857143,0.1342857143
33,"Ashley WestwoodBurnley, 29, DMC",0.03,0.21,0.075,1.5,0.9,0.2,0.9,5.3,0.4,0.75,0.09009009009
32,"Cheikhou KouyatéCrystal Palace, 30, D(CR),DMC",0.11,0.03,0.1,0.4,0.9,0.6,2.1,6.6,1.1,0.758490566,0.02641509434
34,"Dale StephensBrighton, 30, M(C)",0.01,0.03,0.0125,0.6,0.4,0.1,1.2,9.2,0.8,0.8780864198,0.001543209877
5,"David SilvaManchester City, 33, M(CLR)",0.33,0.32,0.165,1.9,0.8,1.5,2.2,3.8,2,0.8619469027,0.03008849558
28,"Davy PröpperBrighton, 28, M(C)",0.1,0.1,0.07142857143,0.8,0.5,2.2,2.5,7.2,1.4,0.8440860215,0.02688172043
4,"Dele AlliTottenham, 23, M(CL)",0.27,0.2,0.1588235294,1.3,1.5,1.9,4.2,6.6,1.7,0.7680412371,0.01546391753
43,"Douglas LuizAston Villa, 21, M(C)",0.05,0.01,0.02631578947,0.2,1.3,1.4,2.9,6,1.9,0.8546365915,0.02506265664
10,"FabinhoLiverpool, 26, D(R),DMC",0.01,0.09,0.02,1.2,1,0.6,0.9,7.7,0.5,0.8634969325,0.007668711656
29,"Georginio WijnaldumLiverpool, 29, M(CL)",0.07,0.02,0.05384615385,0.3,0.9,0.9,2,3.6,1.3,0.908045977,0.002298850575
36,"Gylfi SigurdssonEverton, 30, M(CLR),FW",0.12,0.2,0.06666666667,2.2,0.7,0.6,2.7,5.7,1.8,0.8169491525,0.1830508475
26,"Isaac HaydenNewcastle United, 24, DMC",0.02,0.15,0.03333333333,0.5,0.7,1.1,1.7,8.2,0.6,0.7730496454,0.04964539007
40,"Jack CorkBurnley, 30, DMC",0.05,0.05,0.08333333333,0.4,0.8,1,2.5,6.5,0.6,0.7689655172,0.01034482759
2,"James MaddisonLeicester, 23, AM(CLR)",0.2,0.18,0.07692307692,3.1,3.2,1.3,2.4,5.3,2.6,0.8605947955,0.1431226766
