id,name,shots,on_target_%,possession,pass_success,turnovers,directness,deep_completions,xG,xG_shot,xG_conceded,xg_shot_conceded,shots_conceded,blocked_shots_%,deep_completions_conceded,ppda,tackles_padj,interceptions_padj
13,Arsenal,12.1,0.3388429752,54.4,84.2,26.2,0.07814216225,7.842105263,1.24,0.1024793388,1.246315789,0.0793831713,15.7,0.2802547771,6.421052632,10.25,12.92745199,6.737944671
10,Aston Villa,12.9,0.3488372093,46.6,78.4,23.5,0.1130524152,5.45,1.1955,0.0926744186,1.8975,0.1036885246,18.3,0.3224043716,10.65,11.33,18.46042052,13.08586771
15,Bournemouth,10.7,0.3177570093,47,76.7,24.7,0.102484472,5.5,1.076,0.1005607477,1.5205,0.1027364865,14.8,0.3108108108,8.85,12.99,15.73972496,15.39505945
14,Brighton,12.6,0.3412698413,54.2,82.1,26.2,0.08755379014,7.1,1.297,0.1029365079,1.5115,0.1180859375,12.8,0.234375,6.85,8.63,13.7987829,8.881975203
17,Burnley,9.7,0.3505154639,42.4,67.5,21.4,0.1454880295,3.15,1.2065,0.1243814433,1.2605,0.09549242424,13.2,0.3181818182,6.5,12.08,19.21417529,14.30842841
4,Chelsea,16.6,0.3554216867,57.6,84.7,28.1,0.104174872,8.315789474,1.875789474,0.1129993659,1.075789474,0.1222488038,8.8,0.2840909091,4.842105263,9.17,11.15261932,8.093615162
9,Crystal Palace,9.8,0.3367346939,46,76.9,27.7,0.1892627412,6.15,0.799,0.08153061224,1.516,0.1131343284,13.4,0.276119403,7.8,14.26,20.23564291,13.65007865
16,Everton,13.8,0.3333333333,50.1,76.7,26.5,0.09943525615,6.5,1.4345,0.1039492754,1.2305,0.1183173077,10.4,0.2403846154,5.2,8.77,18.50700077,10.14900042
3,Leicester,14,0.3642857143,54.1,82.6,23.4,0.1462388217,7.65,1.476,0.1054285714,1.144,0.1049541284,10.9,0.247706422,6.25,8.04,15.63735515,9.494108483
2,Liverpool,16.1,0.3913043478,57.5,83,24,0.1581231353,10.72222222,1.951666667,0.1212215321,0.9272222222,0.09760233918,9.5,0.2315789474,4,8.36,9.624639025,6.095604716
1,Manchester City,20.1,0.3532338308,59.9,88.3,20.8,0.1464821223,14.21052632,2.605789474,0.1296412673,1.029473684,0.1286842105,8,0.2,3.526315789,8.41,7.964815083,4.984782229
8,Manchester United,15.1,0.3907284768,54.1,82.3,26,0.1982068524,6.55,1.4525,0.09619205298,0.956,0.0937254902,10.2,0.2254901961,4.95,9.44,12.5258406,7.100635756
12,Newcastle United,10.3,0.3398058252,39.2,73.3,23.5,0.1029499109,3.35,0.852,0.0827184466,1.78,0.1126582278,15.8,0.2658227848,9.7,21.81,24.93289904,16.72146523
18,Norwich,11.5,0.3565217391,50.5,80.8,26.1,0.1120186698,6.15,1.0455,0.09091304348,1.632,0.1007407407,16.2,0.2901234568,8.55,11.38,15.60008331,9.847552591
7,Sheffield United,10.3,0.3398058252,45.9,75.1,23.7,0.1397077037,5.473684211,1.278421053,0.1241185488,1.122105263,0.1048696508,10.7,0.2429906542,5.842105263,12.26,20.31677031,13.94523879
19,Southampton,12.3,0.3577235772,47.4,73,27.4,0.1617317741,5.4,1.421,0.1155284553,1.399,0.1044029851,13.4,0.2537313433,7.05,8.84,22.02081538,11.97028939
6,Tottenham,12,0.375,52.9,82,27.5,0.2208241585,6.5,1.229,0.1024166667,1.128,0.08173913043,13.8,0.2753623188,6.3,10.44,14.8089338,8.645678115
20,Watford,11.7,0.2820512821,45.4,75.5,23.1,0.1201996095,6.35,1.0935,0.09346153846,1.4505,0.1142125984,12.7,0.2677165354,6.7,12.67,20.84248199,13.11850337
11,West Ham,10.8,0.4074074074,48.3,77.6,22.1,0.1624557858,7.263157895,1.094210526,0.1013157895,1.878947368,0.1434310968,13.1,0.2061068702,7.473684211,10.47,21.69591763,12.04123429
5,Wolverhampton Wanderers,12.9,0.3410852713,48,79.1,23.5,0.1565799639,5.105263158,1.366842105,0.1059567523,1.078947368,0.089169204,12.1,0.2561983471,5.894736842,12.86,17.92458831,12.53621514
